Run ID: 20251209_161407
Date: 2025-12-09 16:14:07.596287
--------------------------------
Weed Patches: 150
Obstacles: 120
Planning Duration: 69.85 s
Total Path Length: 28233.69 m
Path Points: 4101
--------------------------------
Patches Locations (Centroids):
  Patch 0: POINT (27.652007976400082 697.8032919479915)
  Patch 1: POINT (346.721148484865 331.7793804227022)
  Patch 2: POINT (571.8150091184019 20.39954856716269)
  Patch 3: POINT (685.2879807083486 663.8154925474678)
  Patch 4: POINT (763.1767503159764 144.92473656255194)
  Patch 5: POINT (688.7452636994562 129.70497073927135)
  Patch 6: POINT (412.66891564469296 310.9722940349564)
  Patch 7: POINT (227.09112013394903 740.3651159427004)
  Patch 8: POINT (486.62810373177604 411.30231083741694)
  Patch 9: POINT (770.0450745699706 308.8970979587105)
  Patch 10: POINT (522.8569231885699 393.49540597255975)
  Patch 11: POINT (555.1676112788505 373.6326151609649)
  Patch 12: POINT (137.53536556349835 775.9930359487092)
  Patch 13: POINT (20.87451335465337 295.1741341533329)
  Patch 14: POINT (572.1738934542012 226.4868248218684)
  Patch 15: POINT (617.652376685501 760.4738467802707)
  Patch 16: POINT (125.40382399108421 326.9093472570422)
  Patch 17: POINT (202.892131040483 300.5785501445784)
  Patch 18: POINT (709.8445035426067 586.9607127039351)
  Patch 19: POINT (711.7481276272309 91.85588196035813)
  Patch 20: POINT (374.13521476905265 204.888882217003)
  Patch 21: POINT (224.82019799571026 155.88657672793155)
  Patch 22: POINT (23.539052033782255 650.3525307662334)
  Patch 23: POINT (763.1678560969457 22.13213143596372)
  Patch 24: POINT (374.75869273251936 365.3389694761915)
  Patch 25: POINT (41.68173350391918 623.4348705602976)
  Patch 26: POINT (21.96079578369448 274.2891164826381)
  Patch 27: POINT (481.49108048800196 329.49344605980076)
  Patch 28: POINT (737.9553660390228 363.8857395052615)
  Patch 29: POINT (664.0291671981108 571.0491155976702)
  Patch 30: POINT (69.74554757891319 346.45064123925994)
  Patch 31: POINT (342.71415257184185 559.8666448670344)
  Patch 32: POINT (263.40089956148756 458.48446522301424)
  Patch 33: POINT (408.5435496915414 742.1907685197131)
  Patch 34: POINT (574.8038587258206 768.9021378256543)
  Patch 35: POINT (554.9681659536604 446.6487574744511)
  Patch 36: POINT (445.8300646326619 637.5652201884534)
  Patch 37: POINT (49.28181505217833 170.24181888314382)
  Patch 38: POINT (743.1949869237105 262.6572845500409)
  Patch 39: POINT (355.1354467462165 315.3680786025237)
  Patch 40: POINT (448.00928352997903 745.7952929459797)
  Patch 41: POINT (313.38819363523385 347.67507403614775)
  Patch 42: POINT (465.02972075174955 627.6187258009775)
  Patch 43: POINT (604.6519313218339 459.6388742813171)
  Patch 44: POINT (158.7136144785541 105.94118851748914)
  Patch 45: POINT (160.7160067554745 591.5358887977457)
  Patch 46: POINT (106.33123364040972 372.8271380589889)
  Patch 47: POINT (193.9755878867506 166.7213190484409)
  Patch 48: POINT (448.3279849600541 359.0150538558809)
  Patch 49: POINT (328.36379378406656 609.1318287856543)
  Patch 50: POINT (778.1836778771911 527.5354281613338)
  Patch 51: POINT (41.41267160132678 362.3101692374879)
  Patch 52: POINT (386.0886519692875 55.29330759887909)
  Patch 53: POINT (457.19652706149793 686.8905861253808)
  Patch 54: POINT (399.62990936304897 771.0678854577134)
  Patch 55: POINT (444.71818613146706 508.16428652931944)
  Patch 56: POINT (741.1093406134133 209.52368293891166)
  Patch 57: POINT (166.12627252980937 634.4402827704109)
  Patch 58: POINT (113.67355045754614 163.6222197720563)
  Patch 59: POINT (617.4165849977281 195.5477042169338)
  Patch 60: POINT (171.11851370906265 776.5343881363387)
  Patch 61: POINT (365.0254343396788 413.02809834170046)
  Patch 62: POINT (565.8632542314183 130.52378160538998)
  Patch 63: POINT (276.8835891530461 102.31267273069562)
  Patch 64: POINT (238.65392214233398 438.9735177284204)
  Patch 65: POINT (112.44290756611808 530.3552092335572)
  Patch 66: POINT (682.5849810878364 288.3568084316055)
  Patch 67: POINT (287.36010105487617 69.75715730393321)
  Patch 68: POINT (179.78374042242382 611.533780943147)
  Patch 69: POINT (243.52188740012923 769.714030570496)
  Patch 70: POINT (281.1774831917396 575.3457950380948)
  Patch 71: POINT (578.3312612529279 405.82285486430686)
  Patch 72: POINT (529.6660485678476 779.6158364200036)
  Patch 73: POINT (547.9062183303754 55.48790259681397)
  Patch 74: POINT (279.89354732652157 672.3092366377166)
  Patch 75: POINT (632.0561961130635 568.0275881506567)
  Patch 76: POINT (252.91457012654183 750.3150687165729)
  Patch 77: POINT (539.9232520374946 122.01974578249815)
  Patch 78: POINT (624.8219333149532 31.511382716704393)
  Patch 79: POINT (34.95024110290618 759.9041304700204)
  Patch 80: POINT (666.091556911169 637.4391385710609)
  Patch 81: POINT (97.60906204491334 699.2547805727983)
  Patch 82: POINT (580.8212594855319 96.8383704797944)
  Patch 83: POINT (460.41227743480977 19.818020953726972)
  Patch 84: POINT (359.5642342232014 88.63753469048777)
  Patch 85: POINT (562.787308291659 562.8006293164696)
  Patch 86: POINT (591.416539093517 176.4541671370026)
  Patch 87: POINT (202.8052086250224 467.7997381864669)
  Patch 88: POINT (399.75822994910027 436.8989098518929)
  Patch 89: POINT (619.443260891692 318.97169477109634)
  Patch 90: POINT (500.54927347187765 599.0346851453913)
  Patch 91: POINT (482.0628180825702 476.885378051224)
  Patch 92: POINT (748.8808998720566 95.37053880806086)
  Patch 93: POINT (773.8342114222313 553.9829484424357)
